,Power factor_U[],Power factor_V[],Power factor_W[],Power_U[],Power_V[],Power_W[],Power_AC (SIGMA)[],UDC[],IDC[],Power_DC[],Speed[],Torque[],Power_Mech.[],Inv_구동효율[],Inv_발전효율[],Motor_구동효율[],Motor_발전효율[],(LC) IGBT TEMP. MAX[],(B) IGBT_TEMP[],(INV) IGBT_U_TEMP[],(INV) IGBT_V_TEMP[],(INV) IGBT_W_TEMP[],SysEff,Torque
pp_KONA_Effmap_20230921_250rpm_25Nm.xlsx,0.0,0.0,0.1,217.2,278.1,315.4,810.8,419.2,2.1,859.1,250.5,25.1,658.5,94.5,106.0,81.5,123.1,35.6,29.5,38.7,38.7,38.7,77.06,395.0
pp_KONA_Effmap_20230921_250rpm_50Nm.xlsx,0.0,0.1,0.1,510.6,530.1,544.4,1584.9,419.2,4.0,1689.2,250.1,50.8,1329.3,93.8,106.6,83.9,119.1,35.6,29.5,38.7,38.7,38.7,78.75,395.0
pp_KONA_Effmap_20230921_250rpm_100Nm.xlsx,0.1,0.1,0.1,1109.7,1119.7,1155.1,3384.4,419.2,8.7,3636.1,251.0,101.6,2671.8,93.1,107.4,79.4,126.6,35.6,29.6,38.8,38.8,38.8,73.86,395.0
pp_KONA_Effmap_20230921_250rpm_150Nm.xlsx,0.1,0.1,0.1,1685.7,1722.2,1688.9,5097.0,419.1,13.2,5511.2,250.9,151.8,3986.4,92.5,108.1,78.2,127.8,35.6,29.6,38.9,38.9,38.9,72.35,395.0
pp_KONA_Effmap_20230921_250rpm_200Nm.xlsx,0.1,0.1,0.1,2345.4,2441.7,2339.6,7126.6,419.2,18.5,7756.6,252.6,202.5,5356.3,91.9,108.8,75.2,133.1,35.6,29.6,39.0,39.0,39.0,69.06,395.0
pp_KONA_Effmap_20230921_250rpm_250Nm.xlsx,0.1,0.1,0.1,3111.8,3144.4,3075.2,9331.3,419.2,24.3,10203.9,252.5,252.6,6678.6,91.4,109.4,71.6,139.7,35.6,29.6,39.1,39.1,39.1,65.46,395.0
pp_KONA_Effmap_20230921_250rpm_300Nm.xlsx,0.1,0.1,0.1,4016.8,4123.0,3797.0,11937.5,419.2,31.3,13137.2,252.2,303.0,7998.5,90.9,110.1,67.1,149.2,35.6,29.7,39.3,39.3,39.3,60.96,395.0
pp_KONA_Effmap_20230921_250rpm_350Nm.xlsx,0.1,0.1,0.1,4798.5,5553.5,4770.6,15122.5,419.2,38.5,16157.6,252.8,353.6,9360.6,93.6,106.8,61.9,161.6,35.6,29.7,39.5,39.5,39.5,57.95,395.0
pp_KONA_Effmap_20230921_250rpm_395Nm.xlsx,0.1,0.1,0.1,5693.6,6142.9,5955.5,17793.1,419.2,45.5,19070.8,250.4,398.8,10457.6,93.3,107.2,58.8,170.1,35.6,29.7,39.7,39.7,39.7,54.86,395.0
pp_KONA_Effmap_20230921_500rpm_25Nm.xlsx,0.1,0.1,0.1,471.0,491.5,498.0,1460.4,419.1,3.6,1509.3,500.8,24.8,1302.0,96.8,103.3,89.2,112.1,36.1,31.4,39.7,39.7,39.7,86.30,395.0
pp_KONA_Effmap_20230921_500rpm_50Nm.xlsx,0.1,0.1,0.1,963.6,988.0,975.1,2926.6,419.1,7.2,3026.9,500.6,50.5,2644.2,96.7,103.4,90.4,110.6,36.1,31.4,39.8,39.8,39.8,87.40,395.0
pp_KONA_Effmap_20230921_500rpm_100Nm.xlsx,0.1,0.1,0.1,1977.6,2005.2,1971.1,5954.0,419.2,14.8,6190.1,500.7,101.1,5301.1,96.2,104.0,89.0,112.3,36.1,31.4,39.9,39.9,39.9,85.64,395.0
pp_KONA_Effmap_20230921_500rpm_150Nm.xlsx,0.1,0.1,0.1,3035.9,3088.3,3008.5,9132.6,419.1,22.8,9550.4,501.4,151.4,7951.7,95.6,104.6,87.1,114.8,36.1,31.4,40.0,40.0,40.0,83.28,395.0
pp_KONA_Effmap_20230921_500rpm_200Nm.xlsx,0.1,0.1,0.1,4143.3,4210.9,4105.2,12459.4,419.1,31.2,13083.5,502.3,202.1,10628.7,95.2,105.0,85.3,117.2,36.1,31.4,40.1,40.1,40.1,81.24,395.0
pp_KONA_Effmap_20230921_500rpm_250Nm.xlsx,0.1,0.1,0.1,5293.6,5393.1,5255.8,15942.5,419.2,40.1,16820.8,501.4,251.8,13215.8,94.8,105.5,82.9,120.6,36.1,31.4,40.2,40.2,40.2,78.57,395.0
pp_KONA_Effmap_20230921_500rpm_300Nm.xlsx,0.1,0.1,0.1,6546.6,6660.3,6489.8,19697.1,419.1,49.8,20869.7,500.6,302.5,15858.0,94.4,106.0,80.5,124.2,36.1,31.4,40.4,40.4,40.4,75.98,395.0
pp_KONA_Effmap_20230921_500rpm_350Nm.xlsx,0.1,0.1,0.1,7913.1,8046.4,7839.1,23795.6,419.1,60.5,25342.2,501.0,352.7,18501.6,93.9,106.5,77.8,128.6,36.1,31.5,40.7,40.7,40.7,73.01,395.0
pp_KONA_Effmap_20230921_500rpm_395Nm.xlsx,0.1,0.1,0.1,9209.1,9373.6,8888.3,27472.7,419.1,70.8,29668.1,501.1,398.0,20888.3,92.6,108.0,76.0,131.5,36.2,31.5,41.0,41.0,41.0,70.41,395.0
pp_KONA_Effmap_20230921_1000rpm_25Nm.xlsx,0.2,0.2,0.2,921.3,933.6,930.2,2785.0,419.1,6.8,2833.0,1000.2,24.5,2570.8,98.3,101.7,92.3,108.3,36.3,31.7,40.7,40.7,40.7,90.74,395.0
pp_KONA_Effmap_20230921_1000rpm_50Nm.xlsx,0.2,0.2,0.2,1862.4,1891.2,1859.1,5612.7,419.1,13.6,5711.8,999.8,50.2,5252.1,98.3,101.8,93.6,106.9,36.3,31.7,40.8,40.8,40.8,91.96,395.0
pp_KONA_Effmap_20230921_1000rpm_100Nm.xlsx,0.2,0.2,0.2,3758.1,3819.7,3727.9,11305.6,419.1,27.5,11546.8,1000.3,100.7,10545.8,97.9,102.1,93.3,107.2,36.3,31.7,40.8,40.8,40.8,91.34,395.0
pp_KONA_Effmap_20230921_1000rpm_150Nm.xlsx,0.2,0.2,0.2,5700.1,5787.1,5653.3,17140.5,419.1,41.9,17555.2,1001.0,150.9,15821.9,97.6,102.4,92.3,108.3,36.3,31.7,40.8,40.8,40.8,90.13,395.0
pp_KONA_Effmap_20230921_1000rpm_200Nm.xlsx,0.2,0.2,0.2,7693.3,7800.0,7629.0,23122.2,419.1,56.7,23755.9,1000.9,201.4,21108.8,97.3,102.7,91.3,109.5,36.3,31.8,40.9,40.9,40.9,88.85,395.0
pp_KONA_Effmap_20230921_1000rpm_250Nm.xlsx,0.2,0.2,0.2,9730.9,9877.6,9627.1,29235.6,419.1,71.9,30126.9,1000.8,251.2,26329.7,97.0,103.0,90.1,111.0,36.3,31.8,41.0,41.0,41.0,87.40,395.0
pp_KONA_Effmap_20230921_1000rpm_300Nm.xlsx,0.2,0.2,0.2,11876.1,12041.5,11750.2,35667.3,419.0,88.0,36852.9,1000.4,301.8,31617.5,96.8,103.3,88.6,112.8,36.3,31.8,41.1,41.1,41.1,85.79,395.0
pp_KONA_Effmap_20230921_1000rpm_350Nm.xlsx,0.2,0.2,0.2,14111.3,14294.3,13963.6,42369.4,418.9,104.8,43911.7,1000.8,351.6,36851.1,96.5,103.6,87.0,115.0,36.3,31.8,41.3,41.3,41.3,83.92,395.0
pp_KONA_Effmap_20230921_1000rpm_395Nm.xlsx,0.2,0.2,0.2,16256.0,16448.1,16060.6,48764.7,418.9,121.1,50702.0,1000.8,397.1,41617.9,96.2,104.0,85.3,117.2,36.3,31.8,41.7,41.7,41.7,82.08,395.0
pp_KONA_Effmap_20230921_1500rpm_25Nm.xlsx,0.2,0.2,0.2,1357.9,1386.2,1365.4,4109.5,419.1,9.9,4160.1,1499.5,24.4,3836.7,98.8,101.2,93.4,107.1,36.5,32.2,41.1,41.1,41.1,92.24,395.0
pp_KONA_Effmap_20230921_1500rpm_50Nm.xlsx,0.3,0.3,0.3,2754.9,2793.9,2743.5,8292.4,419.2,20.0,8394.2,1499.0,50.0,7854.9,98.8,101.2,94.7,105.6,36.6,32.2,41.1,41.1,41.1,93.56,395.0
pp_KONA_Effmap_20230921_1500rpm_100Nm.xlsx,0.3,0.3,0.3,5549.3,5621.1,5490.5,16661.1,419.1,40.3,16904.2,1499.7,100.6,15793.4,98.6,101.5,94.8,105.5,36.5,32.2,41.1,41.1,41.1,93.43,395.0
pp_KONA_Effmap_20230921_1500rpm_150Nm.xlsx,0.3,0.3,0.3,8377.1,8479.3,8280.7,25136.6,419.1,61.0,25557.1,1500.1,150.7,23673.7,98.4,101.7,94.2,106.2,36.5,32.2,41.2,41.2,41.2,92.63,395.0
